"","Title","Date Published","Citation","Authors","Contact","purpose of study","cost data description","how costs were measured","Data Source","Conservation Action Category","Conservation Action Category (Additional)...11","Conservation Action Category (Additional)...12","time frame of cost data","spatial extent of study","cost predictors","management cost estimate","Date of cost calculation","Currency","Units of area","Land purchase costs","time since implementation","includes capital costs","includes consumables costs","includes labor costs","overhead included","predicts costs across categories","inflation correction","Notes"
"1","Estimating land and conservation management costs: The first step in designing a stewardship program for the Northern Territory",2012,"Adams, et al. 2012","Vanessa M. Adams, Robert L. Pressey, Natalie Stoeckl","vanessa.adams@cdu.edu.au","estimate costs of stewardship programs that remove threats","routine and conservation oriented management costs on private property","survey landowners about actual costs","Elicited","Land / Water Management",NA,NA,"1 year (previous year)","Daly River catchment AU","area, management practices, property characteristics","routine = $1.01, conservation $1.99","2009","AU $?","ha","N","Y","Y","Y","Y","N","N","N/A",NA
"2","Underfunding, the challenge of federally managed protected areas of Ethiopia",2020,"Admasu et al, 2020","Simeneh Admasu, Hadis Tadele, Mekbeb Tessema, Zelealem Tefera",NA,"Cost benefit analysis of the management of protected areas in Ethiopia, especially management provided by The Ethiopian Wildlife Conservation Authority.  The analysis takes into account the cost of park rangers in the various protected areas to protect the areas from illegal activities.","Primary data was collected from chief PA managers of all 13 PAs, 21 ecological monitoring wardens and chief rangers from 13 PAs using semi-structured questionnaire.  Secondary data collected from various literatures and financial records were examined to determine the recent investments made by government and conservation partners on PAs including records contained relevant data on operational and physical infrastructure spending","The Cost Benefit Analysis (CBA) was calculated based on the previous work by Van Zyl (2015) on economic valuation assessment and the estimated management cost of ideal level management of PAs.  Annual management costs were estimated using estimated ranger numbers for each protected area.","Elicited","Land / Water Management","Species Management",NA,NA,"Ethiopia",NA,NA,NA,"USD$","km^2","N","N/A","Y","Y","Y","N","Y","N",NA
"3","Factoring economic costs into conservation planing may improve agreement over priorities for protection",2017,"Armsworth et al. 2017","Paul Armsworth, Heather Jackson, Seong-Hoon Cho, Melissa Clark, Joesph Fargione, Gwenllian Iacona, Taeyoung Kim, Eric Larson, Thomas Minney, Nathan Sutton","p.armsworth@utk.edu","Testing the claim that disagreements over ecological considerations for conservation targets will become less important in prioritizing areas compared to using ROI methods(?)","Used data from TNC",NA,"Accounts Based","Conservation Designation & Planning",NA,NA,"2000-2009","central and southern Appalachians","N","N",NA,"USD$","ha","Y","N/A","Y","N","N","N","N","Y",NA
"4","Management costs for small protected areas and economies of scale in habitat conservation",2011,"Armsworth, et al 2011","Paul R. Armsworth., Lisette Cantú-Salazar, Mark Parnell, Zoe G. Davies, Rob Stoneman","p.armsworth@utk.edu","estimate costs of managing preserves and whether those costs relate to acquisition costs or other common proxies of management cost","0p.","examines protected areas managed by Yorkshire Wildlife Trust (YWT) as a case study.  estimate of paid staff time allocated to each protected area was obtained using a face-to-face questionnaire with the 12 paid staff members involved in site management","Elicited","Land / Water Management","Conservation Designation & Planning",NA,"4 years (2004-2008)","78 sites in Yorkshire","area, start date, ownership(fully vs partly owned), public conservation interest, postcode, avg. agricultural production, UKBAP richness, slope range","median = 1730/ site /year for overall management = 36680 for endowed management","2008","GBP","ha","Y","Y","Y","Y","Y","Y","Y","Y",NA
"5","Opportunities for Cost-Sharing in Conservation: Variation in Volunteering Effort across Protected Areas",2013,"Armsworth, et al 2013","Paul R. Armsworth., Lisette Cantú-Salazar, Mark Parnell, Zoe G. Davies, Rob Stoneman, Josephine E. Booth","p.armsworth@utk.edu","estimating management costs offset by volunteer time","number of hours spent by volunteers at a site * 7 GBP","estimated by manager survey, and compared with direct mail survey to documented volunteers and with site records on volunteer time. Compared with management costs estimated in Armsworth 2011","Mix","Land / Water Management",NA,NA,"1 year","59 sites in Yorkshire","site area, year of acquisition, dominant habitat type,number of postcodes within 15 min travel,social deprivation, population density, leisure time activities","%36 supplement to annual management expenditures","2008","GBP","ha","N","N","N","Y","Y","Y","N","N/A",NA
"6","Global variation in terrestrial conservation costs, conservation benefits, and unmet conservation needs",2003,"Balmford, et al 2003","Andrew Balmford, Kevin J. Gaston, Simon Blyth, Alex James, Val Kapos","a.balmford@zoo.cam.ac.uk","develop a predictive model of management costs to enhance  prioritization efforts","recurrent management costs of ""effective"" field based programs broken down into current spending and unmet costs","UNEP-WCMC survey of agencies (57 sites), experts (21 sites), literature (20 sites), internet(41 sites)","Mix","Conservation Designation & Planning",NA,NA,"1 year? Unclear","global","GNP, PPP, Project area","$0.1 km 2 y 1 in the Russian Arctic to ove$1,000,000 km 2 y 1","2000","US$","km2","N","N","N","N","N","N","N","Y",NA
"7","Integrating Costs of Conservation into International Priority Setting",2000,"Balmford, et al. 2000","Andrew Balmford, Kevin J. Gaston, Ana S. L. Rodrigues, Alexander James","a.balmford@zoo.cam.ac.uk","Integrating conservation costs into an international priority setting. implementing conservation cost measures into prioritiy assessment.","Cost data from two questionnaire surveys conducted in 1993 and 1995 by the WCMC.  Reported values from countries and estimated expenditures.","Used linear programming in the penultimate set of analyses. quantified the cost-effectiveness of priority sets picked entirely at random.  calculated
the mean of species represented in
10,000 sets of countries and plotted the curves of the mean
values derived","Accounts Based","Land / Water Management","Species Management",NA,NA,"global",NA,NA,"1996","USD $",NA,"Y","N/A","Y","N","N","N","N/A","N",NA
"8","Cost-effective global conservation spending is robust to taxonomic group",2012,"Bode, et al. 2012","Michael Bode, Kerrie A. Wilson, Thomas M. Brooks, Will R. Turner, Russell A. Mittermeier, Marissa F. McBride, Emma C. Underwood, and Hugh P. Possingham","mbode@unimelb.edu.au","Using information regarding conservation costs, predicted habitat loss rates, and the endemicity of seven different taxon groups to create a global funding schedule in an effort to better allocate conservation funding.",NA,"Unclear, it provides an annual budget of US$310 million and was given to regions on a case by case basis.","Modeled","Land / Water Management","Species Management",NA,"20 year period","Worldwide                    World's 34 terrestrial ""biodiversity hotspots""",NA,NA,"N/A","USD $","N/A","N","N","N","N","N","N","N","N/A",NA
"9","Estimating economic losses to small-scale fishers from shark conservation: A hedonic price analysis",2021,"Booth et al. 2021","Hollie Booth, Dale Squires, Irfan Yulianto, Benaya Simeon, Muhsin, Luky Adrianto, Eleanor Jane Milner-Gulland",NA,"Uses a hedonic price analysis to understand shark markets and the economic costs of shark conservation, especially in impoverished fishing communities that may impede conservation efforts to protect sharks.",NA,NA,"Modeled","Species Management","Economic & Moral Incentives",NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"N","N","N","N","N",NA,NA
"10","Evaluating the Success of Conservation Actions in Safeguarding Tropical Forest Biodiversity",2009,"Brooks, et al. 2009","Thomas M. Brooks, S. Joseph Wright, Douglas Sheil","t.brooks@conservation.org","Review of the evidence regarding the extent and efficacy of conservation of tropical forest biodiversity for each of the classes of conservation action defined by the new IUCN classification.","PA funding","Surveying countries' costs to maintain PAs and","Elicited","Land / Water Management","Species Management","Legal & Policy Frameworks",NA,"Worldwide",NA,NA,NA,"USD $","km2","N","N","N","N","N","N","N",NA,NA
