Action Category,Additional Action Category,Sub actions,Action name,Article,Citation/source,Date,Cost Estimates,Itemized costs,Study Region,Area surveyed,Currency,Context,Continent,Biome,Taxon,Peru,Notes
Land/Water Management,,,,Estimating land and conservation management costs: The first step in designing a stewardship program for the Northern Territory,"Adams, et al. 2012",2011,"Reported costs - Total of routine management:$1.8 M, additional cost of conservation management: $0.35 M.  Daly catchment esimates- Total routine management :$4.2 M, conservation management: $12.5 M. Whole catchment - additional cost of conservation: $8.3 M, or $1.99 per ha on average. Cost efficient budget for funding of all ""cost effective"" properties (<$2.25 per ha stewardship cost): $1 M/year",,Daly River catchment in Northern Territory (Australia),"Total catchment: 5.2 M ha, survey area: 4.2 M ha",USD,private lands,,,,N,
Land/Water Management,,,,"Underfunding, the challenge of federally managed protected areas of Ethiopia","Admasu et al, 2020",2020,Total annual management cost: $10.5 M to $21.5 M. Mean annuall expenditure for basic level management: $404.45/sq km. Return on investment: $129 for every $1 invested,,Ethiopia,"29,950 sqkm",USD,federally managed protected areas,,,,N,
Land/Water Management,,,,Management costs for small protected areas and economies of scale in habitat conservation,"Armsworth, et al 2011",2011,"(Median costs in 1000s per site) direct expenditure: 0.35, Paid staff time: 1.18, overall management cost: 1.73, acquisition cost: 21.37, endowed management cost: 36.68",,UK,"78 sites, median 8.24 ha",GBP,management costs of protected areas managed by NGO,,,,N,
Land/Water Management,,,,Opportunities for Cost-Sharing in Conservation: Variation in Volunteering Effort across Protected Areas,"Armsworth, et al 2013",2013,"Assume value of labor is 7/hr. Estimated value of volunteering on PAs: 156,000. NGO expenditure of managing including paid staff time:957,000/yr",,UK,59 sites,GBP,volunteering effort in NGO managed protected areas,,,,N,
Land/Water Management,,,,Integrating Costs of Conservation into International Priority Setting,"Balmford, et al. 2000",2000,Estimates in $billions: 6.25/yr average,,111 countries ,terrestrial sites,1996 USD,"global estimated costs of conserving 15% land area of reserve network, mammals only",,,,Y,
Land/Water Management,,,,Cost-effective global conservation spending is robust to taxonomic group,"Bode, et al. 2012",2008,"Annual budget of $310M for each taxonimic group. Estimates of minimize-loss heuristic after 20 yrs (in millions)- Tropical Andes- Mammals:2,542.1; Birds:3,600.2; Amphibians:3,687.2; Reptiles:961; Freshwater fishes:1,488; Tiger beetles: 2,015; Plants: 3,135.8. ",,34 terrestrial biodiversity hotspots (tropical andes included),,USD,global priority setting for land conservation of seven taxons considering socioeconomic factors,,,,,specific costs of other areas available in SM
Land/Water Management,Conservation Designation/Planning,,,Financial Costs and Shortfalls of Managing and Expanding Protected-Area Systems in Developing Countries,"Bruner, et al 2004",2004,Funding shortfall of $1 to 1.7B/year.  Total management cost: $1.8B/yr. Cost of expandinf PAs to include high-priority sites: $1.8B. Total costs of managing/expanding: $4B/yr. Creating new protected areas: $9B,,,"review of studies including global, boradscale studies, (africa, european union), detailed studies (africa, madagascar, bolivia)",USD,managing PAs in developing countries and expansion into new high-priority areas,,,,?,
Land/Water Management,,"Land aquisition, equipment, offices, security. No wages included",,The financial needs vs. the realities of in situ conservation: an analysis of federal funding for protected areas in Brazil’s Caatinga,"Carneiro de Oliveira &  Bernard, 2017",2017,"Budget allocated: 231,575 to13.5 M.  Land aquisition consumed 75% of budget. Excluding land aquisition: 0.50USD/ha/yr. Cost per ha ranged from 0.04 to 301.38, mean cost over 7 years: 2.01 usd/ha/yr. ",,Brazil's Caatinga drylands,"20 PAs: 2,356,490.63 ha",USD,managing PAs: financial needs vs federal funding 2008-2014,,,,N,specific cost of actions/yr/PA available
Land/Water Management,," Data describes mostly annual recurrent management costs:(salaries and training, infrastructure maintenance, fuel, community engagement, monitoring, evaluation).",,Public spending in federal protected areas in Brazil,"da Silva, et al. 2019",2019,"Total cost 2013-2016: 197.8 M. Annual cost: 0.3/sq km - 392,250/sq km. Median: 314/sw km.  55% of spending covered personnel costs. ",,Brazil,"289 PAs: 743,406 sq km",adjusted 2016 BRl values to 2016 USD,"federal PAs 2013-2016. Variable spending based on PA size, age, human pop density, HDI",,,,N,
Land/Water Management,Conservation Designation/Planning + multiple,8i cost categoriies from 17 institutional management actions. several CMP actions available,,FINANCIAL STRUCTURING OF PROTECTED AREAS ACCORDING TO THE CONSERVATION MEASURES PARTNERSHIP CLASSIFICATION SYSTEM OF ACTIONS,"Diaz Campos and Vilés-Lopez, 2020",2020,"Total funding gap across cost categories: $47,547,554. Total needs for operation over 19 PAs (2019 USD):37,690,681. Total needs for investment over 19 PAs(2019 USD): 36,572,701",,Colombia,"19 marine and terrestrial PAs within the PNN, IUCN management categories Ib, II, III",USD,"2017-2021 PA management plans, instotutional management",,,,N,"costs per PA available, funding gap per action category available"
